동네,시군구,번지,건물명,위도,경도,전월세구분,전용면적(㎡),층,보증금(만원),월세금(만원),건축년도
왕십리,서울특별시 성동구 행당동,254-1,대성빌라,37.55783,127.03571,월세,44.5300,1,"11,000",60,1992
건대입구,서울특별시 광진구 구의동,29-20,승지,37.5444896,127.0874678,월세,29.3100,4,"4,000",78,2020
역삼,서울특별시 강남구 역삼동,637-26,에이스빌,37.49988,127.03856,월세,35.4100,4,"10,000",100,2005
사당,서울특별시 동작구 사당동,419-87,삼성아트7차,37.48508,126.9704949,월세,59.9800,2,"5,000",175,1998
사당,서울특별시 동작구 사당동,431-3,부림아트빌(431-3),37.48508,126.9704949,월세,40.9800,4,"20,000",23,2008
사당,서울특별시 동작구 사당동,431-3,부림아트빌(431-3),37.48508,126.9704949,월세,42.2100,3,"20,000",23,2008
사당,서울특별시 동작구 사당동,419-42,더하우스8차,37.48508,126.9704949,월세,46.3500,4,"10,000",90,2008
사당,서울특별시 동작구 사당동,419-105,미래아트빌,37.48508,126.9704949,전세,71.8350,4,"30,500",0,2009
사당,서울특별시 동작구 사당동,316-244,귀주아트빌,37.48508,126.9704949,전세,43.6200,4,"20,000",0,2014
사당,서울특별시 동작구 사당동,431-4,옵티뭄빌,37.48508,126.9704949,전세,45.2300,3,"35,000",0,2016
사당,서울특별시 동작구 사당동,230-19,로얄팰리스,37.48508,126.9704949,전세,51.3800,2,"38,535",0,2016
사당,서울특별시 동작구 사당동,91-2,형제팰리스,37.48508,126.9704949,월세,51.7200,4,"25,000",39,2018
사당,서울특별시 동작구 사당동,316-179,316-179,37.48508,126.9704949,월세,32.9500,1,"17,362",3,2018
합정,서울특별시 마포구 합정동,359-42,동아아트빌라,37.5477846,126.9095636,전세,54.1200,4,"27,000",0,1991
성수,서울특별시 성동구 성수동2가,289-162,대명아트빌,37.54048,127.05601,월세,29.9400,5,"30,000",4,2020
성수,서울특별시 성동구 성수동2가,299-80,오페라하우스,37.54048,127.05601,전세,44.2800,5,"37,800",0,2015
성수,서울특별시 성동구 성수동2가,321-64,명품빌리지,37.54048,127.05601,전세,28.2700,3,"21,500",0,2012
합정,서울특별시 마포구 합정동,391-2,고려빌라트,37.5477846,126.9095636,월세,126.6100,4,78,78,1992
합정,서울특별시 마포구 합정동,391-27,주연빌리지27,37.5477846,126.9095636,전세,44.6800,5,"25,600",0,2004
신림,서울특별시 관악구 신림동,546-2,조원도시형생활주택,37.486897,126.928177,월세,13.6000,4,500,51,2011
신림,서울특별시 관악구 신림동,103-134,103-134,37.486897,126.928177,월세,28.8000,4,"3,200",69,2014
신림,서울특별시 관악구 신림동,535-6,노아의방주,37.486897,126.928177,월세,34.3200,4,"12,800",25,2012
신촌,서울특별시 서대문구 창천동,191,다모아,37.5587663,126.9342407,전세,72.9000,4,"12,000",0,2003
역삼,서울특별시 강남구 역삼동,778-18,J&Jvill,37.49988,127.03856,전세,34.7100,5,"31,300",0,2015
홍대,서울특별시 마포구 서교동,333-44,WhiteVille,37.5550711,126.9238244,월세,18.7800,1,"2,000",55,2002
노원,서울특별시 노원구 중계동,90-33,민하우스(A동),37.6509815,127.0810259,전세,48.7800,5,"18,600",0,2011
합정,서울특별시 마포구 합정동,451-11,합정어반힐,37.5477846,126.9095636,전세,25.7600,5,"29,500",0,2020
노원,서울특별시 노원구 상계동,1105-65,원하우스,37.66727,127.07242,월세,16.1200,2,"1,000",40,2013
노원,서울특별시 노원구 상계동,581-115,송원레지던스,37.66727,127.07242,월세,16.7400,3,"6,500",1,2012
노원,서울특별시 노원구 상계동,169-66,동방빌라,37.66727,127.07242,월세,40.5100,2,"12,000",15,1994
노원,서울특별시 노원구 상계동,134-120,대보빌라2동,37.66727,127.07242,전세,42.4800,-1,"8,000",0,1991
노원,서울특별시 노원구 공릉동,416,이화맨션나동,37.6302152,127.0872902,월세,44.6500,5,"14,000",35,2006
건대입구,서울특별시 광진구 자양동,611-39,(611-39),37.5316905,127.0749477,전세,37.4400,1,"21,000",0,1986
건대입구,서울특별시 광진구 자양동,84-10,(84-10),37.5316905,127.0749477,월세,42.8200,-1,500,50,1991
건대입구,서울특별시 광진구 자양동,664-12,화이트하우스(664-12),37.5316905,127.0749477,전세,39.6000,2,"21,994",0,2009
건대입구,서울특별시 광진구 자양동,652-35,예림빌라,37.5316905,127.0749477,전세,72.0300,4,"42,000",0,2010
역삼,서울특별시 강남구 역삼동,745-35,다올2차,37.49988,127.03856,월세,25.4800,3,"32,800",3,2019
건대입구,서울특별시 광진구 자양동,775-12,늘푸른하우스,37.5316905,127.0749477,월세,49.7000,5,"40,000",10,2016
건대입구,서울특별시 광진구 자양동,192-21,아스하임(192-21),37.5316905,127.0749477,전세,51.7000,3,"27,500",0,2017
건대입구,서울특별시 광진구 자양동,229-36,삼성홈타운17차,37.5316905,127.0749477,전세,29.9000,3,"28,875",0,2017
건대입구,서울특별시 광진구 자양동,57-124,까사리버자양,37.5316905,127.0749477,전세,18.9100,4,"20,000",0,2021
건대입구,서울특별시 광진구 자양동,227-273,디앤씨스톤,37.5316905,127.0749477,전세,50.5600,2,"52,000",0,2024
신촌,서울특별시 서대문구 대현동,90-42,이대다올노블리움2차(에이동),37.56058,126.94496,월세,13.9800,8,"1,000",80,2018
수유,서울특별시 강북구 수유동,291-59,홍원하이빌강북6,37.636597,127.0043825,월세,24.0000,3,210,29,2021
수유,서울특별시 강북구 수유동,313-6,홍원하이빌강북7,37.636597,127.0043825,월세,19.0800,2,210,23,2021
수유,서울특별시 강북구 수유동,535-130,북한산타운힐즈,37.636597,127.0043825,월세,84.7700,1,"28,000",50,2018
수유,서울특별시 강북구 수유동,486-777,우광타운(12),37.636597,127.0043825,월세,30.1100,2,"1,300",65,1990
수유,서울특별시 강북구 수유동,313-17,혁구하이츠빌라8차,37.636597,127.0043825,월세,42.2300,4,"1,000",70,1993
상도,서울특별시 동작구 상도동,26-27,한울빌딩,37.4988159,126.9441045,월세,12.2900,4,"1,000",57,2012
수유,서울특별시 강북구 수유동,252-46,우성빌라(252-46),37.636597,127.0043825,월세,31.1400,3,"2,000",80,1994
상도,서울특별시 동작구 상도동,299-57,네오빌리지(299-57),37.4988159,126.9441045,월세,29.9400,4,"18,000",15,2014
